num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
208;1;208_1;3;1;4;1;2;;;;;;;;5;5;7;6;5;6;5;5;6;6;6;5;6;6
220;1;220_1;1;1;3;1;0.75;;;;;;;;6;6;6;4;3;5;5;6;5;5;5;4;6;6
226;1;226_1;2;1;3;1;11.5;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
228;1;228_1;3;1;3;1;28;;;;;;;;5;6;7;5;6;6;6;5;6;6;6;6;6;6
250;1;250_1;2;1;3;1;10;;;;;;;;6;6;6;5;6;6;6;6;6;6;6;6;6;6
252;1;252_1;2;1;4;1;1;;;;;;;;5;6;6;6;5;4;4;5;6;5;5;4;5;6
254;1;254_1;2;2;4;1;4;;;;;;;;6;6;7;7;5;6;7;6;6;7;7;5;6;6
258;1;258_1;2;1;2;1;9;;;;;;;;6;7;7;7;5;6;6;6;7;6;6;6;6;6
268;1;268_1;3;2;4;1;24;;;;;;;;5;4;6;5;6;6;5;6;6;7;6;5;6;6
272;1;272_1;2;2;4;1;2;;;;;;;;5;6;7;6;7;7;4;2;7;6;6;4;7;6
276;1;276_1;2;2;3;1;1;;;;;;;;7;5;6;4;5;5;5;6;6;5;7;4;6;6
280;1;280_1;3;1;3;1;7;;;;;;;;6;5;6;6;7;6;7;6;6;6;6;5;6;6
284;1;284_1;2;2;3;1;7;;;;;;;;6;6;6;6;6;6;6;6;5;;6;6;6;6
286;1;286_1;1;1;4;1;3;;;;;;;;6;6;6;6;7;6;6;6;7;6;6;5;7;6
288;1;288_1;3;2;3;3;23;;;;;;;;6;5;6;5;5;6;6;7;6;6;6;5;6;6
296;1;296_1;2;1;3;1;1;;;;;;;;5;6;6;6;6;6;5;7;5;4;6;4;5;6
302;1;302_1;2;1;4;1;25;;;;;;;;6;6;6;6;5;6;6;6;6;5;6;6;6;6
322;1;322_1;2;1;4;1;11;;;;;;;;6;6;6;6;5;6;6;6;6;6;6;5;6;6
324;1;324_1;1;1;4;1;7;;;;;;;;6;6;6;5;6;5;6;6;6;6;6;5;6;6
336;1;336_1;3;1;4;1;16;;;;;;;;6;6;7;5;6;4;6;6;5;6;6;5;6;6
344;1;344_1;3;1;3;1;3;;;;;;;;3;6;6;6;6;6;6;6;5;5;6;3;5;6
348;1;348_1;2;1;5;1;6;;;;;;;;6;6;6;5;6;6;6;6;6;6;6;5;6;6
350;1;350_1;2;2;4;1;5;;;;;;;;4;6;7;5;6;6;4;3;7;5;4;5;6;6
356;1;356_1;2;1;3;1;6;;;;;;;;6;5;6;4;5;5;5;5;6;5;6;4;6;6
