num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
645;1;3;25_3;;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;1 à 5 ans;;;;;;;;6;6;6;6;6;4;6;6;5;5;6;5;5;6
649;1;3;29_3;;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;6;5;5;5;5;5;5;5;5;5;5;5;4;6
667;1;3;47_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Moins de 1 an;;;;;;;;7;6;6;6;4;5;5;5;6;6;5;3;6;6
671;1;3;51_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;1 à 5 ans;;;;;;;;7;6;6;6;4;5;5;6;6;6;6;5;5;6
675;1;3;55_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;5;4;5;5;4;5;6;7;5;6;6;5;5;6
677;1;3;57_3;55 ans et plus;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;6;6;6;6;6;5;6;6;6;6;6;6;6
679;1;3;59_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;6;6;7;6;6;6;6;6;6;6;5;6;6;6
681;1;3;61_3;35 à 44 ans;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;7;6;7;7;7;7;6;6;7;6;7;6;7;6
699;1;3;79_3;;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;5;6;6;6;4;5;7;7;6;6;6;5;6;6
707;1;3;87_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
709;1;3;89_3;;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;7;7;7;6;7;7;7;6;6;6;5;7;6
729;1;3;109_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;5;6;4;6;5;7;7;4;5;6;4;6;6
737;1;3;117_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
739;1;3;119_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;6;6;6;6;6;6;6;6;6;5;6;6
741;1;3;121_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;7;5;6;6;6;6;7;6;6;6;7;6
761;1;3;141_3;25 à 34 ans;Femme;Doctorat (études universitaires de 3e cycle);;Moins de 1 an;;;;;;;;5;6;7;6;6;7;5;5;6;5;6;4;5;6
767;1;4;5_4;2;2;2;;;;;;;;;;6;6;6;6;5;5;6;6;4;5;6;5;5;6
775;1;4;13_4;2;1;4;;;;;;;;;;5;6;6;5;6;6;6;6;6;6;6;5;6;6
777;1;4;15_4;2;1;2;;;;;;;;;;6;7;7;7;6;6;6;6;7;6;6;4;6;6
779;1;4;17_4;3;2;4;;;;;;;;;;6;5;6;6;5;6;5;6;7;7;6;5;7;6
781;1;4;19_4;2;1;3;;;;;;;;;;6;7;7;4;7;7;7;7;7;6;6;4;6;6
785;1;4;23_4;3;1;3;;;;;;;;;;;7;7;3;7;7;6;6;7;6;7;3;6;6
791;1;4;29_4;1;1;2;;;;;;;;;;7;7;6;6;5;6;6;6;6;6;6;6;6;6
793;1;4;31_4;1;1;4;;;;;;;;;;6;6;6;6;5;7;6;6;7;6;6;5;7;6
795;1;4;33_4;1;1;2;;;;;;;;;;6;6;7;6;7;6;6;6;6;5;6;5;6;6
801;1;4;39_4;3;1;2;;;;;;;;;;5;6;6;6;5;6;6;6;6;6;6;5;6;6
803;1;4;41_4;3;1;2;;;;;;;;;;5;6;6;5;6;5;6;6;5;5;6;6;6;6
813;1;4;51_4;3;1;4;;;;;;;;;;6;6;6;5;6;6;6;6;6;6;6;4;5;6
819;1;4;57_4;2;1;2;;;;;;;;;;5;6;6;6;6;6;5;4;6;5;6;6;6;6
825;1;4;63_4;1;1;4;;;;;;;;;;5;6;7;6;7;6;6;5;6;6;5;6;6;6
837;1;4;75_4;3;1;3;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
873;1;4;111_4;4;1;3;;;;;;;;;;;;7;;5;6;5;5;7;6;6;5;6;6
881;1;4;119_4;3;1;2;;;;;;;;;;6;7;7;6;7;2;6;5;6;6;6;4;7;6
883;1;4;121_4;3;1;4;;;;;;;;;;7;5;6;7;6;6;7;7;6;6;6;4;5;6
897;1;5;10_5;22;1;2;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
919;1;5;32_5;23;1;4;;;;;;;;;;6;6;6;6;6;6;7;7;6;6;6;6;6;6
923;1;5;36_5;22;1;2;;;;;;;;;;6;4;7;5;7;6;5;4;6;6;6;6;6;6
929;1;5;42_5;24;1;3;;;;;;;;;;5;3;5;4;5;6;6;6;4;4;5;7;6;6
939;1;5;52_5;23;1;3;;;;;;;;;;6;5;6;6;5;7;6;6;6;6;6;5;6;6
945;1;5;58_5;22;1;2;;;;;;;;;;6;4;5;5;4;5;5;6;4;5;5;5;4;6
951;1;5;64_5;22;2;2;;;;;;;;;;6;7;7;6;6;7;6;6;6;6;6;6;6;6
963;1;5;76_5;23;1;2;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
969;1;5;82_5;22;1;2;;;;;;;;;;6;5;5;5;5;6;5;5;4;5;6;5;5;6
971;1;5;84_5;22;1;2;;;;;;;;;;5;5;6;6;5;6;6;6;6;6;6;6;5;6
973;1;5;86_5;23;1;2;;;;;;;;;;6;5;6;6;5;6;7;7;6;6;6;5;6;6
979;1;6;3_6;20;1;3;;;;;1;1;1;;1;7;4;4;4;6;6;6;4;6;6;5;6;6;6
993;1;6;17_6;19;1;5;;;;;1;1;1;1;1;6;6;6;5;4;7;2;7;6;7;6;5;6;6
995;1;6;19_6;;2;8;;;;;2;1;1;2;1;6;6;6;6;5;7;5;6;6;7;6;6;6;6
997;1;6;21_6;28;1;7;;;;;2;2;2;1;1;6;6;6;6;6;6;5;6;6;6;7;6;6;6
1005;1;6;29_6;25;1;7;;;;;2;1;1;2;1;5;5;6;5;6;6;5;5;6;6;5;4;5;6
1011;1;6;35_6;20;2;9;;;;;2;1;2;;1;6;5;6;6;4;7;;6;6;6;6;6;6;6
1019;1;6;43_6;21;2;6;;;;;1;1;1;;1;7;7;7;6;7;7;5;5;7;6;6;5;6;6
1027;1;6;51_6;23;1;9;;;;;1;1;1;3;1;5;5;5;5;4;5;6;6;4;3;6;3;5;6
1041;1;6;65_6;21;2;9;;;;;1;1;2;1;1;7;5;4;4;6;5;1;5;2;3;6;6;5;6
1075;1;6;99_6;22;2;6;;;;;1;1;1;2;1;5;4;4;5;5;5;4;5;5;5;5;5;6;6
1083;1;6;107_6;20;1;5;;;;;1;1;1;2;1;6;5;6;6;5;5;5;7;6;6;7;5;5;6
1091;1;6;115_6;29;2;8;;;;;2;1;1;1;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6
1093;1;6;117_6;24;2;7;;;;;1;1;1;2;1;6;6;6;6;5;7;5;6;7;6;6;6;6;6
1101;1;6;125_6;20;2;5;;;;;1;1;1;2;1;6;5;5;6;5;6;5;6;6;6;6;4;6;6
1111;1;6;135_6;21;1;8;;;;;1;1;1;2;1;5;4;6;7;6;7;5;5;5;4;5;4;5;6
1115;1;6;139_6;26;2;5;;;;;1;1;2;2;1;5;5;5;7;5;7;4;5;6;6;6;4;7;6
1119;1;6;143_6;22;1;5;;;;;1;1;1;2;1;6;6;7;6;1;7;7;7;4;5;6;1;3;6
1123;1;6;147_6;20;2;6;;;;;1;1;2;2;1;4;7;7;7;7;7;5;6;6;5;6;2;6;6
1125;1;6;149_6;29;1;8;;;;;2;1;2;2;1;6;4;7;7;6;7;6;5;6;6;6;4;6;6
1143;1;6;167_6;31;2;6;;;;;1;1;2;3;1;6;4;6;4;4;4;4;4;4;6;6;4;6;6
1155;1;6;179_6;20;1;5;;;;;1;1;2;2;1;6;5;6;4;6;4;5;6;6;6;6;4;6;6
1189;1;6;213_6;19;1;5;;;;;2;1;2;4;1;4;5;5;4;5;4;4;4;5;5;5;5;5;6
1193;1;6;217_6;21;2;5;;;;;1;1;1;2;1;7;6;6;6;6;6;6;6;6;6;6;6;6;6
1199;1;6;223_6;20;1;5;;;;;1;1;2;2;1;5;6;6;5;7;7;3;5;7;6;6;6;7;6
1203;1;6;227_6;24;1;3;;;;;1;1;1;2;2;4;4;7;6;4;6;3;4;7;7;6;3;6;6
1207;1;6;231_6;19;2;5;;;;;1;1;1;2;1;6;6;6;7;5;6;4;7;6;6;7;4;6;6
1215;1;6;239_6;20;2;8;;;;;1;1;2;2;1;7;5;5;5;5;6;2;6;6;5;7;7;7;6
1221;1;6;245_6;19;1;8;;;;;1;1;2;2;1;5;4;4;5;6;6;5;5;7;7;6;6;6;6
1231;1;6;255_6;19;1;5;;;;;1;1;1;;1;5;4;5;6;4;6;2;4;5;4;6;5;5;6
1235;1;6;259_6;25;1;8;;;;;2;1;1;1;1;5;6;5;5;6;6;2;;;7;7;4;6;6
1239;1;6;263_6;;1;7;;;;;1;1;2;1;1;7;6;6;4;5;7;2;3;6;3;6;3;4;6
1241;1;6;265_6;23;2;2;;;;;1;1;2;;3;2;1;7;2;5;7;6;7;7;3;4;4;4;6
1255;1;6;279_6;19;2;5;;;;;1;1;1;2;;7;3;5;5;6;4;5;7;7;6;6;4;5;6
1257;1;6;281_6;20;2;8;;;;;1;1;1;;1;6;6;6;6;4;7;5;6;6;6;6;5;6;6
1259;1;6;283_6;25;1;6;;;;;1;1;2;2;1;5;5;6;6;4;7;3;4;5;7;2;5;6;6
1265;1;6;289_6;21;2;5;;;;;1;1;;1;1;6;6;6;6;5;6;4;6;5;6;6;6;5;6
1273;1;6;297_6;20;2;5;;;;;1;1;1;2;1;6;6;6;6;5;7;7;6;6;6;6;6;6;6
1281;1;6;305_6;19;1;5;;;;;2;1;2;2;1;5;5;5;5;5;4;3;3;4;6;5;3;4;6
1283;1;6;307_6;19;1;5;;;;;1;1;1;2;1;7;5;5;5;6;6;3;6;5;6;6;5;7;6
1299;1;6;323_6;24;2;5;;;;;1;1;2;2;2;6;6;6;6;6;6;2;5;6;6;6;6;6;6
1301;1;6;325_6;22;1;5;;;;;1;1;1;4;1;6;6;2;7;5;6;6;5;5;6;6;6;6;6
1305;1;6;329_6;20;2;5;;;;;1;1;1;2;1;6;6;6;6;6;6;5;7;6;6;6;6;6;6
1309;1;6;333_6;20;2;5;;;;;1;1;1;2;1;5;5;5;5;5;6;5;5;6;5;6;4;5;6
1311;1;6;335_6;21;1;5;;;;;1;1;1;2;1;6;4;6;6;6;6;5;6;6;6;6;4;6;6
1313;1;6;337_6;21;2;6;;;;;1;1;1;1;1;6;5;5;5;4;6;4;6;6;7;6;4;6;6
1315;1;6;339_6;26;2;6;;;;;2;1;1;3;1;5;5;6;6;6;6;2;6;7;6;6;4;5;6
1317;1;6;341_6;22;2;5;;;;;2;1;2;2;1;5;6;5;7;4;6;4;6;6;5;5;3;6;6
1337;1;6;361_6;20;1;5;;;;;1;1;2;2;1;7;7;6;7;7;7;5;5;7;6;6;4;6;6
1339;1;6;363_6;;2;5;;;;;1;1;1;2;1;6;6;7;6;6;7;6;6;6;6;6;6;6;6
1343;1;6;367_6;20;2;5;;;;;1;1;1;2;1;6;6;7;6;6;7;4;5;6;6;5;4;5;6
1353;1;6;377_6;21;1;6;;;;;1;1;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6
1361;1;6;385_6;;2;5;;;;;1;1;1;2;1;5;6;6;6;5;5;2;5;5;5;6;3;4;6
1377;1;6;401_6;30;1;5;;;;;3;1;2;2;1;6;6;;4;1;7;4;2;2;4;6;2;2;6
